time 	 desired_ee_pos 	 ee_pos
0.269123	3.72931 1.38594	3.69674 1.38585
0.270119	3.72956 1.38594	3.69698 1.38585
0.271117	 3.7298 1.38594	3.69722 1.38585
0.272116	3.73005 1.38594	3.69746 1.38585
0.273116	 3.7303 1.38594	 3.6977 1.38585
0.274118	3.73054 1.38594	3.69794 1.38585
0.275116	3.73079 1.38594	3.69818 1.38585
0.276115	3.73103 1.38594	3.69842 1.38585
0.277115	3.73128 1.38594	3.69866 1.38585
0.278117	3.73153 1.38594	 3.6989 1.38585
0.279115	3.73177 1.38594	3.69914 1.38585
0.280115	3.73201 1.38594	3.69939 1.38585
0.281114	3.73226 1.38594	3.69963 1.38585
0.282121	 3.7325 1.38594	3.69987 1.38585
0.28312	3.73275 1.38594	3.70011 1.38585
0.284121	3.73299 1.38594	3.70035 1.38585
0.285117	3.73323 1.38594	3.70059 1.38585
0.286118	3.73347 1.38594	3.70084 1.38585
0.287116	3.73372 1.38594	3.70108 1.38585
0.288115	3.73396 1.38594	3.70132 1.38585
0.289116	 3.7342 1.38594	3.70156 1.38585
0.290117	3.73444 1.38594	 3.7018 1.38585
0.291116	3.73468 1.38594	3.70205 1.38585
0.292119	3.73493 1.38594	3.70229 1.38585
0.293116	3.73517 1.38594	3.70253 1.38585
0.294118	3.73541 1.38594	3.70277 1.38585
0.295116	3.73565 1.38594	3.70302 1.38585
0.296116	3.73589 1.38594	3.70326 1.38585
0.297115	3.73613 1.38594	 3.7035 1.38585
0.298133	3.73637 1.38594	3.70374 1.38585
0.299146	3.73661 1.38594	3.70399 1.38585
0.300127	3.73684 1.38594	3.70423 1.38585
0.301119	3.73708 1.38594	3.70447 1.38585
0.302119	3.73732 1.38594	3.70471 1.38585
0.30312	3.73756 1.38594	3.70496 1.38585
0.304119	 3.7378 1.38594	3.70518 1.38585
0.305115	3.73803 1.38594	3.70544 1.38585
0.306118	3.73827 1.38594	3.70569 1.38585
0.307114	3.73851 1.38594	3.70593 1.38585
0.308114	3.73875 1.38594	3.70617 1.38585
0.309115	3.73898 1.38594	3.70641 1.38585
0.310117	3.73922 1.38594	3.70666 1.38585
0.311115	3.73945 1.38594	 3.7069 1.38585
0.312114	3.73969 1.38594	3.70714 1.38585
0.313116	3.73992 1.38594	3.70739 1.38585
0.314117	3.74016 1.38594	3.70763 1.38585
0.315114	3.74039 1.38594	3.70787 1.38585
0.316129	3.74063 1.38594	3.70812 1.38585
0.317118	3.74086 1.38594	3.70836 1.38585
0.318118	3.74109 1.38594	 3.7086 1.38585
0.319118	3.74133 1.38594	3.70884 1.38585
0.320116	3.74156 1.38594	3.70909 1.38585
0.321116	3.74179 1.38594	3.70933 1.38585
0.322118	3.74203 1.38594	3.70957 1.38585
0.323116	3.74226 1.38594	3.70982 1.38585
0.324115	3.74249 1.38594	3.71006 1.38585
0.325118	3.74272 1.38594	 3.7103 1.38585
0.326118	3.74295 1.38594	3.71054 1.38585
0.327115	3.74318 1.38594	3.71079 1.38585
0.328116	3.74341 1.38594	3.71103 1.38585
0.329115	3.74364 1.38594	3.71127 1.38585
0.330118	3.74387 1.38594	3.71152 1.38585
0.331158	 3.7441 1.38594	3.71176 1.38585
0.33212	3.74433 1.38594	  3.712 1.38585
0.333122	3.74456 1.38594	3.71224 1.38585
0.334122	3.74479 1.38594	3.71249 1.38585
0.335119	3.74502 1.38594	3.71273 1.38585
0.336119	3.74525 1.38594	3.71297 1.38585
0.337119	3.74548 1.38594	3.71321 1.38585
0.338119	 3.7457 1.38594	3.71346 1.38585
0.339118	3.74593 1.38594	 3.7137 1.38585
0.340119	3.74616 1.38594	3.71394 1.38585
0.341119	3.74638 1.38594	3.71418 1.38585
0.342119	3.74661 1.38594	3.71443 1.38585
0.34312	3.74683 1.38594	3.71467 1.38585
0.344118	3.74706 1.38594	3.71491 1.38585
0.345121	3.74729 1.38594	3.71515 1.38585
0.34612	3.74751 1.38594	3.71539 1.38585
0.347119	3.74774 1.38594	3.71563 1.38585
0.34812	3.74796 1.38594	3.71588 1.38585
0.349119	3.74818 1.38594	3.71612 1.38585
0.350122	3.74841 1.38594	3.71636 1.38585
0.351618	3.74863 1.38594	3.71655 1.38585
0.352158	3.74885 1.38594	3.71684 1.38585
0.35318	3.74908 1.38594	3.71704 1.38585
0.35412	 3.7493 1.38594	3.71732 1.38585
0.35512	3.74952 1.38594	3.71757 1.38585
0.356118	3.74974 1.38594	3.71781 1.38585
0.35712	3.74996 1.38594	3.71805 1.38585
0.358119	3.75018 1.38594	3.71829 1.38585
0.35912	 3.7504 1.38594	3.71853 1.38585
0.360119	3.75062 1.38594	3.71877 1.38585
0.361119	3.75084 1.38594	3.71901 1.38585
0.36212	3.75106 1.38594	3.71925 1.38585
0.363118	3.75128 1.38594	3.71949 1.38585
0.364118	 3.7515 1.38594	3.71973 1.38585
0.36512	3.75172 1.38594	3.71997 1.38585
0.366122	3.75194 1.38594	3.72021 1.38585
0.367134	3.75216 1.38594	3.72045 1.38585
0.368118	3.75237 1.38594	3.72069 1.38585
0.369122	3.75259 1.38594	3.72093 1.38585
0.37012	3.75281 1.38594	3.72117 1.38585
0.371119	3.75303 1.38594	3.72141 1.38585
0.372119	3.75324 1.38594	3.72165 1.38585
0.373119	3.75346 1.38594	3.72189 1.38585
0.374119	3.75367 1.38594	3.72213 1.38585
0.375119	3.75389 1.38594	3.72236 1.38585
0.376118	 3.7541 1.38594	 3.7226 1.38585
0.377118	3.75432 1.38594	3.72284 1.38585
0.37812	3.75453 1.38594	3.72308 1.38585
0.379118	3.75475 1.38594	3.72332 1.38585
0.380119	3.75496 1.38594	3.72356 1.38585
0.38112	3.75517 1.38594	3.72379 1.38585
0.382121	3.75538 1.38594	3.72403 1.38585
0.383119	 3.7556 1.38594	3.72427 1.38585
0.384119	3.75581 1.38594	3.72451 1.38585
0.38512	3.75602 1.38594	3.72474 1.38585
0.386121	3.75623 1.38594	3.72498 1.38585
0.387118	3.75644 1.38594	3.72522 1.38585
0.388119	3.75665 1.38594	3.72546 1.38585
0.389118	3.75686 1.38594	3.72569 1.38585
0.390119	3.75707 1.38594	3.72593 1.38585
0.39112	3.75728 1.38594	3.72617 1.38585
0.392119	3.75749 1.38594	 3.7264 1.38585
0.393119	 3.7577 1.38594	3.72664 1.38585
0.394119	3.75791 1.38594	3.72687 1.38585
0.39512	3.75812 1.38594	3.72711 1.38585
0.39612	3.75833 1.38594	3.72735 1.38585
0.39712	3.75853 1.38594	3.72758 1.38585
0.398121	3.75874 1.38594	3.72779 1.38585
0.399124	3.75895 1.38594	3.72805 1.38585
0.400123	3.75915 1.38594	3.72829 1.38585
0.401119	3.75936 1.38594	3.72852 1.38585
0.402121	3.75956 1.38594	3.72876 1.38585
0.403154	3.75977 1.38594	3.72899 1.38585
0.404133	3.75997 1.38594	3.72922 1.38585
0.405121	3.76018 1.38594	3.72946 1.38585
0.406123	3.76038 1.38594	3.72969 1.38585
0.407119	3.76059 1.38594	3.72993 1.38585
0.408118	3.76079 1.38594	3.73016 1.38585
0.40912	3.76099 1.38594	3.73039 1.38585
0.41012	 3.7612 1.38594	3.73063 1.38585
0.411118	 3.7614 1.38594	3.73086 1.38585
0.412118	 3.7616 1.38594	3.73109 1.38585
0.413119	 3.7618 1.38594	3.73132 1.38585
0.414119	  3.762 1.38594	3.73156 1.38585
0.415118	 3.7622 1.38594	3.73179 1.38585
0.416119	 3.7624 1.38594	3.73202 1.38585
0.417119	 3.7626 1.38594	3.73225 1.38585
0.418121	 3.7628 1.38594	3.73248 1.38585
0.419119	  3.763 1.38594	3.73271 1.38585
0.420118	 3.7632 1.38594	3.73294 1.38585
0.421118	 3.7634 1.38594	3.73318 1.38585
0.422119	 3.7636 1.38594	3.73341 1.38585
0.423119	 3.7638 1.38594	3.73364 1.38585
0.424119	3.76399 1.38594	3.73387 1.38585
0.425118	3.76419 1.38594	 3.7341 1.38585
0.426121	3.76439 1.38594	3.73433 1.38585
0.427119	3.76458 1.38594	3.73456 1.38585
0.428121	3.76478 1.38594	3.73479 1.38585
0.429118	3.76497 1.38594	3.73502 1.38585
0.430119	3.76517 1.38594	3.73524 1.38585
0.431118	3.76536 1.38594	3.73545 1.38585
0.432119	3.76556 1.38594	3.73568 1.38585
0.43317	3.76575 1.38594	3.73593 1.38585
0.434209	3.76594 1.38594	3.73616 1.38585
0.435135	3.76614 1.38594	3.73636 1.38585
0.436157	3.76633 1.38594	3.73661 1.38585
0.437151	3.76652 1.38594	3.73684 1.38585
0.438151	3.76671 1.38594	3.73707 1.38585
0.43915	3.76691 1.38594	3.73729 1.38585
0.44015	 3.7671 1.38594	3.73752 1.38585
0.441149	3.76729 1.38594	3.73775 1.38585
0.44215	3.76748 1.38594	3.73797 1.38585
0.44315	3.76767 1.38594	 3.7382 1.38585
0.444149	3.76786 1.38594	3.73843 1.38585
0.445149	3.76805 1.38594	3.73865 1.38585
0.44615	3.76824 1.38594	3.73888 1.38585
0.447149	3.76842 1.38594	 3.7391 1.38585
0.448149	3.76861 1.38594	3.73933 1.38585
0.449152	 3.7688 1.38594	3.73955 1.38585
0.450162	3.76899 1.38594	3.73977 1.38585
0.451126	3.76917 1.38594	   3.74 1.38585
0.452125	3.76936 1.38594	3.74022 1.38585
0.453137	3.76955 1.38594	3.74045 1.38585
0.454123	3.76973 1.38594	3.74067 1.38585
0.455119	3.76992 1.38594	3.74089 1.38585
0.456119	 3.7701 1.38594	3.74111 1.38585
0.457119	3.77029 1.38594	3.74134 1.38585
0.45812	3.77047 1.38594	3.74156 1.38585
0.459119	3.77065 1.38594	3.74178 1.38585
0.460119	3.77084 1.38594	  3.742 1.38585
0.461118	3.77102 1.38594	3.74222 1.38585
0.462119	 3.7712 1.38594	3.74245 1.38585
0.463119	3.77138 1.38594	3.74267 1.38585
0.464119	3.77157 1.38594	3.74289 1.38585
0.465131	3.77175 1.38594	3.74311 1.38585
0.466165	3.77193 1.38594	3.74333 1.38585
0.467157	3.77211 1.38594	3.74355 1.38585
0.468152	3.77229 1.38594	3.74377 1.38585
0.46915	3.77247 1.38594	3.74399 1.38585
0.47015	3.77265 1.38594	3.74421 1.38585
0.471149	3.77282 1.38594	3.74442 1.38585
0.472149	  3.773 1.38594	3.74464 1.38585
0.473149	3.77318 1.38594	3.74486 1.38585
0.47415	3.77336 1.38594	3.74508 1.38585
0.475149	3.77354 1.38594	 3.7453 1.38585
0.476149	3.77371 1.38594	3.74551 1.38585
0.477149	3.77389 1.38594	3.74573 1.38585
0.47815	3.77406 1.38594	3.74595 1.38585
0.479148	3.77424 1.38594	3.74617 1.38585
0.480152	3.77441 1.38594	3.74638 1.38585
0.481148	3.77459 1.38594	 3.7466 1.38585
0.48215	3.77476 1.38594	3.74681 1.38585
0.483149	3.77494 1.38594	3.74703 1.38585
0.484149	3.77511 1.38594	3.74724 1.38585
0.485149	3.77528 1.38594	3.74746 1.38585
0.486149	3.77545 1.38594	3.74767 1.38585
0.487148	3.77563 1.38594	3.74789 1.38585
0.488148	 3.7758 1.38594	 3.7481 1.38585
0.489148	3.77597 1.38594	3.74832 1.38585
0.490149	3.77614 1.38594	3.74853 1.38585
0.491148	3.77631 1.38594	3.74874 1.38585
0.49215	3.77648 1.38594	3.74895 1.38585
0.493149	3.77665 1.38594	3.74917 1.38585
0.494153	3.77682 1.38594	3.74938 1.38585
0.49515	3.77699 1.38594	3.74959 1.38585
0.496149	3.77715 1.38594	 3.7498 1.38585
0.497149	3.77732 1.38594	3.75001 1.38585
0.498152	3.77749 1.38594	3.75022 1.38585
0.499154	3.77766 1.38594	3.75044 1.38585
0.500157	3.77782 1.38594	3.75065 1.38585
0.50115	3.77799 1.38594	3.75086 1.38585
0.502149	3.77815 1.38594	3.75107 1.38585
0.503149	3.77832 1.38594	3.75128 1.38585
0.504148	3.77848 1.38594	3.75148 1.38585
0.50515	3.77865 1.38594	3.75169 1.38585
0.506151	3.77881 1.38594	 3.7519 1.38585
0.507151	3.77898 1.38594	3.75211 1.38585
0.508149	3.77914 1.38594	3.75232 1.38585
0.509149	 3.7793 1.38594	3.75253 1.38585
0.51015	3.77946 1.38594	3.75273 1.38585
0.511149	3.77963 1.38594	3.75294 1.38585
0.512148	3.77979 1.38594	3.75315 1.38585
0.513148	3.77995 1.38594	3.75335 1.38585
0.514149	3.78011 1.38594	3.75356 1.38585
0.515149	3.78027 1.38594	3.75377 1.38585
0.516148	3.78043 1.38594	3.75397 1.38585
0.517149	3.78059 1.38594	3.75418 1.38585
0.518148	3.78074 1.38594	3.75438 1.38585
0.519148	 3.7809 1.38594	3.75458 1.38585
0.520148	3.78106 1.38594	3.75479 1.38585
0.521148	3.78122 1.38594	3.75499 1.38585
0.522149	3.78137 1.38594	 3.7552 1.38585
0.523149	3.78153 1.38594	 3.7554 1.38585
0.524149	3.78169 1.38594	 3.7556 1.38585
0.525149	3.78184 1.38594	 3.7558 1.38585
0.526149	  3.782 1.38594	3.75601 1.38585
0.527149	3.78215 1.38594	3.75621 1.38585
0.52812	3.78231 1.38594	3.75641 1.38585
0.529117	3.78246 1.38594	3.75661 1.38585
0.530122	3.78261 1.38594	3.75681 1.38585
0.531145	3.78277 1.38594	3.75701 1.38585
0.532135	3.78292 1.38594	3.75721 1.38585
0.533139	3.78307 1.38594	3.75741 1.38585
0.534122	3.78322 1.38594	3.75761 1.38585
0.535118	3.78337 1.38594	3.75781 1.38585
0.536117	3.78352 1.38594	3.75801 1.38585
0.537117	3.78367 1.38594	3.75821 1.38585
0.53812	3.78382 1.38594	3.75841 1.38585
0.539118	3.78397 1.38594	 3.7586 1.38585
0.540119	3.78412 1.38594	 3.7588 1.38585
0.541117	3.78427 1.38594	  3.759 1.38585
0.542119	3.78442 1.38594	 3.7592 1.38585
0.543117	3.78456 1.38594	3.75939 1.38585
0.544117	3.78471 1.38594	3.75959 1.38585
0.545119	3.78486 1.38594	3.75978 1.38585
0.54612	  3.785 1.38594	3.75998 1.38585
0.547119	3.78515 1.38594	3.76017 1.38585
