time 	 force 	 position
0.220325	-0.754138   0.80458	1.67515 1.37312
0.221323	-0.754138   0.80458	1.67515 1.37312
0.222168	-0.754138   0.80458	1.67515 1.37312
0.225426	-0.754138   0.80458	1.67515 1.37312
0.22552	-0.754138   0.80458	1.67515 1.37312
0.225595	-0.754138   0.80458	1.67515 1.37312
0.226338	-0.754138   0.80458	1.67515 1.37312
0.227782	-0.754138   0.80458	1.67515 1.37312
0.228246	-0.754138   0.80458	1.67515 1.37312
0.229207	-0.754138   0.80458	1.67515 1.37312
0.230409	-0.754138   0.80458	1.67515 1.37312
0.231728	-0.754138   0.80458	1.67515 1.37312
0.23285	-0.754138   0.80458	1.67515 1.37312
0.233114	-0.754138   0.80458	1.67515 1.37312
0.234223	-0.754138   0.80458	1.67515 1.37312
0.235443	-0.754138   0.80458	1.67515 1.37312
0.236343	-0.754138   0.80458	1.67515 1.37312
0.237394	-0.754138   0.80458	1.67515 1.37312
0.238158	-0.754138   0.80458	1.67515 1.37312
0.239215	-0.754138   0.80458	1.67515 1.37312
0.240675	-0.754138   0.80458	1.67515 1.37312
0.244514	-0.754138   0.80458	1.67515 1.37312
0.244703	-0.754138   0.80458	1.67515 1.37312
0.244789	-0.754138   0.80458	1.67515 1.37312
0.244878	-0.754138   0.80458	1.67515 1.37312
0.246625	-0.754138   0.80458	1.67515 1.37312
0.247128	-0.754138   0.80458	1.67515 1.37312
0.247241	-0.754138   0.80458	1.67515 1.37312
0.248689	-0.754138   0.80458	1.67515 1.37312
0.249954	-0.754138   0.80458	1.67515 1.37312
0.25014	-0.754138   0.80458	1.67515 1.37312
0.251302	-0.754138   0.80458	1.67515 1.37312
0.25237	-0.754138   0.80458	1.67515 1.37312
0.253147	-0.754138   0.80458	1.67515 1.37312
0.254245	-0.754138   0.80458	1.67515 1.37312
0.25556	-0.754138   0.80458	1.67515 1.37312
0.256255	-0.754138   0.80458	1.67515 1.37312
0.257377	-0.754138   0.80458	1.67515 1.37312
0.261109	-0.754138   0.80458	1.67515 1.37312
0.261223	-0.754138   0.80458	1.67515 1.37312
0.26132	-0.754138   0.80458	1.67515 1.37312
0.261396	-0.754138   0.80458	1.67515 1.37312
0.26288	-0.754138   0.80458	1.67515 1.37312
0.2638	-0.754138   0.80458	1.67515 1.37312
0.264278	-0.754138   0.80458	1.67515 1.37312
0.265925	-0.754138   0.80458	1.67515 1.37312
0.266259	-0.754138   0.80458	1.67515 1.37312
0.267959	-0.754138   0.80458	1.67515 1.37312
0.268114	-0.754138   0.80458	1.67515 1.37312
0.269191	-0.754138   0.80458	1.67515 1.37312
0.270412	-0.754138   0.80458	1.67515 1.37312
0.271503	-0.754138   0.80458	1.67515 1.37312
0.272419	-0.754138   0.80458	1.67515 1.37312
0.2732	-0.754138   0.80458	1.67515 1.37312
0.275596	-0.754138   0.80458	1.67515 1.37312
0.275742	-0.754138   0.80458	1.67515 1.37312
0.276459	-0.754138   0.80458	1.67515 1.37312
0.277951	-0.754138   0.80458	1.67515 1.37312
0.278176	-0.754138   0.80458	1.67515 1.37312
0.279882	-0.754138   0.80458	1.67515 1.37312
0.28012	-0.754138   0.80458	1.67515 1.37312
0.281254	-0.754138   0.80458	1.67515 1.37312
0.282252	-0.754138   0.80458	1.67515 1.37312
0.2833	-0.754138   0.80458	1.67515 1.37312
0.284173	-0.754138   0.80458	1.67515 1.37312
0.285361	-0.754138   0.80458	1.67515 1.37312
0.286192	-0.754138   0.80458	1.67515 1.37312
0.287204	-0.754138   0.80458	1.67515 1.37312
0.288228	-0.754138   0.80458	1.67515 1.37312
0.289485	-0.754138   0.80458	1.67515 1.37312
0.290127	-0.754138   0.80458	1.67515 1.37312
0.292243	-0.754138   0.80458	1.67515 1.37312
0.292339	-0.754138   0.80458	1.67515 1.37312
0.294083	-0.754138   0.80458	1.67515 1.37312
0.294236	-0.754138   0.80458	1.67515 1.37312
0.295567	-0.754138   0.80458	1.67515 1.37312
0.296809	-0.754138   0.80458	1.67515 1.37312
0.297245	-0.754138   0.80458	1.67515 1.37312
0.298252	-0.754138   0.80458	1.67515 1.37312
0.299222	-0.754138   0.80458	1.67515 1.37312
0.300647	-0.754138   0.80458	1.67515 1.37312
0.301339	-0.754138   0.80458	1.67515 1.37312
0.302413	-0.754138   0.80458	1.67515 1.37312
0.303269	-0.754138   0.80458	1.67515 1.37312
0.304285	-0.754138   0.80458	1.67515 1.37312
0.305568	-0.754138   0.80458	1.67515 1.37312
0.306305	-0.754138   0.80458	1.67515 1.37312
0.307338	-0.754138   0.80458	1.67515 1.37312
0.309234	-0.754138   0.80458	1.67515 1.37312
0.309327	-0.754138   0.80458	1.67515 1.37312
