time 	 desired_ee_pos 	 ee_pos
0.409115	3.65647 1.38594	3.65647  1.3859
0.410116	3.65647 1.38594	3.65647  1.3859
0.411117	3.65647 1.38594	3.65647  1.3859
0.412116	3.65647 1.38594	3.65647  1.3859
0.413147	3.65647 1.38594	3.65647  1.3859
0.414141	3.65647 1.38594	3.65647  1.3859
0.41513	3.65647 1.38594	3.65647  1.3859
0.41613	3.65647 1.38594	3.65647  1.3859
0.417123	3.65647 1.38594	3.65647  1.3859
0.418123	3.65647 1.38594	3.65647  1.3859
0.419122	3.65647 1.38594	3.65647  1.3859
0.42012	3.65647 1.38594	3.65647  1.3859
0.421121	3.65647 1.38594	3.65647  1.3859
0.422123	3.65647 1.38594	3.65647  1.3859
0.42312	3.65647 1.38594	3.65647  1.3859
0.424122	3.65647 1.38594	3.65647  1.3859
0.42512	3.65647 1.38594	3.65647  1.3859
0.426124	3.65647 1.38594	3.65647  1.3859
0.427121	3.65647 1.38594	3.65647  1.3859
0.428129	3.65647 1.38594	3.65647  1.3859
0.429169	3.65647 1.38594	3.65647  1.3859
0.430128	3.65647 1.38594	3.65647  1.3859
0.431124	3.65647 1.38594	3.65647  1.3859
0.432124	3.65647 1.38594	3.65647  1.3859
0.433151	3.65647 1.38594	3.65647  1.3859
0.434147	3.65647 1.38594	3.65647  1.3859
0.435146	3.65647 1.38594	3.65647  1.3859
0.436146	3.65647 1.38594	3.65647  1.3859
0.437145	3.65647 1.38594	3.65647  1.3859
0.438146	3.65647 1.38594	3.65647  1.3859
0.439145	3.65647 1.38594	3.65647  1.3859
0.440145	3.65647 1.38594	3.65647  1.3859
0.441144	3.65647 1.38594	3.65647  1.3859
0.442146	3.65647 1.38594	3.65647  1.3859
0.443144	3.65647 1.38594	3.65647  1.3859
0.444144	3.65647 1.38594	3.65647  1.3859
0.445144	3.65647 1.38594	3.65647  1.3859
0.446149	3.65647 1.38594	3.65647  1.3859
0.447145	3.65647 1.38594	3.65647  1.3859
0.448144	3.65647 1.38594	3.65647  1.3859
0.449144	3.65647 1.38594	3.65647  1.3859
0.450146	3.65647 1.38594	3.65647  1.3859
0.451144	3.65647 1.38594	3.65647  1.3859
0.452145	3.65647 1.38594	3.65647  1.3859
0.453144	3.65647 1.38594	3.65647  1.3859
0.454145	3.65647 1.38594	3.65647  1.3859
0.455144	3.65647 1.38594	3.65647  1.3859
0.456144	3.65647 1.38594	3.65647  1.3859
0.457144	3.65647 1.38594	3.65647  1.3859
0.458146	3.65647 1.38594	3.65647  1.3859
0.459144	3.65647 1.38594	3.65647  1.3859
0.460144	3.65647 1.38594	3.65647  1.3859
0.461146	3.65647 1.38594	3.65647  1.3859
0.462152	3.65647 1.38594	3.65647  1.3859
0.463154	3.65647 1.38594	3.65647  1.3859
0.464147	3.65647 1.38594	3.65647  1.3859
0.465146	3.65647 1.38594	3.65647  1.3859
0.466147	3.65647 1.38594	3.65647  1.3859
0.467146	3.65647 1.38594	3.65647  1.3859
0.468144	3.65647 1.38594	3.65647  1.3859
0.469144	3.65647 1.38594	3.65647  1.3859
0.470147	3.65647 1.38594	3.65647  1.3859
0.471144	3.65647 1.38594	3.65647  1.3859
0.472145	3.65647 1.38594	3.65647  1.3859
0.473145	3.65647 1.38594	3.65647  1.3859
0.474145	3.65647 1.38594	3.65647  1.3859
0.475145	3.65647 1.38594	3.65647  1.3859
0.476144	3.65647 1.38594	3.65647  1.3859
0.477144	3.65647 1.38594	3.65647  1.3859
0.478148	3.65647 1.38594	3.65647  1.3859
0.479148	3.65647 1.38594	3.65647  1.3859
0.480145	3.65647 1.38594	3.65647  1.3859
0.481144	3.65647 1.38594	3.65647  1.3859
0.482147	3.65647 1.38594	3.65647  1.3859
0.483145	3.65647 1.38594	3.65647  1.3859
0.484144	3.65647 1.38594	3.65647  1.3859
0.485149	3.65647 1.38594	3.65647  1.3859
0.486146	3.65647 1.38594	3.65647  1.3859
